name,poster,quote,ranking,reviews_num,score
肖申克的救赎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,希望让人自由。,1,1036861,9.6
霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,风华绝代。,2,754997,9.5
这个杀手不太冷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,怪蜀黍和小萝莉不得不说的故事。,3,969921,9.4
阿甘正传,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,一部美国近现代史。,4,825708,9.4
美丽人生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,最美的谎言。,5,482259,9.5
千与千寻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,最好的宫崎骏，最好的久石让。 ,6,773198,9.3
泰坦尼克号,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,失去的才是永恒的。 ,7,765089,9.3
辛德勒的名单,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,拯救一个人，就是拯救整个世界。,8,438721,9.4
盗梦空间,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,诺兰给了我们一场无法盗取的梦。,9,863121,9.3
机器人总动员,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,小瓦力，大人生。,10,565911,9.3
三傻大闹宝莱坞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,英俊版憨豆，高情商版谢耳朵。,11,776548,9.2
海上钢琴师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,12,663993,9.2
忠犬八公的故事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,永远都不能忘记你所爱的人。,13,537518,9.2
放牛班的春天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,天籁一般的童声，是最接近上帝的存在。 ,14,519637,9.2
大话西游之大圣娶亲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,一生所爱。,15,568828,9.2
楚门的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,如果再也不能见到你，祝你早安，午安，晚安。,16,541366,9.1
龙猫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p537668599.jpg,人人心中都有个龙猫，童年就永远不会消失。,17,479894,9.1
教父,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,千万不要记恨你的对手，这样会让你失去理智。,18,389724,9.2
星际穿越,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,爱是一种力量，让我们超越时空感知它的存在。,19,569259,9.2
熔炉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,20,314409,9.2
乱世佳人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,Tomorrow is another day.,21,302491,9.2
触不可及,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,满满温情的高雅喜剧。,22,421819,9.2
无间道,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,香港电影史上永不过时的杰作。,23,464233,9.1
当幸福来敲门,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220721286.jpg,平民励志片。 ,24,614382,8.9
天堂电影院,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,25,340954,9.1
怦然心动,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,真正的幸福是来自内心深处。,26,643880,8.9
十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,1957年的理想主义。 ,27,193313,9.4
搏击俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,28,437843,9.0
少年派的奇幻漂流,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,瑰丽壮观、无人能及的冒险之旅。,29,647515,9.0
